track_id,playcount
TRAALAH128E078234A,76893
TRADPIA128E078EE1B,210
TRAGABG12903CEC68B,1028
TRCPUIV128E079280D,656
TRDKPRZ128F92F37EA,13
TRFKBXC128F4243FFD,14
TRFNTDZ128F426B34D,80
TRIODZU128E078F3E2,990
TRIOREW128F424EAF0,162
TRIQWYH128F1486062,1075
TRIWYMW128F145E0F9,380
TRJLKMS128F1494A77,17
TRLQLBZ128F42A70F4,63
TRNNGMK128F423F034,32185
TRQFICK128F92F5190,11578
TRRIVDJ128F429B0E8,995
TRRPNNQ12903CB411A,20
TRRSVFJ128F426FB31,104
TRSXCET128F92EB269,172
TRUEIND128F93038C4,21
TRUJIIV12903CA8848,11
TRUOEWJ128F9345A85,566
TRXCXKA128F92E6258,19
TRXNTMB12903CA884A,11
TRXOGZT128F424AD74,48
TRYEZGE128F92D04C8,98
